新款	新款，读音xīn kuǎn，汉语词语，指新的款式。
梳妆台	梳妆台指用来化妆的家具装饰。梳妆台一词，在现代家居中，已经被业主、客户、家居设计师广泛用到，现在泛指家具梳妆台。梳妆台尺寸标准的是总高度为1500mm左右，宽为700mm到1200mm，这样的梳妆台尺寸是大小正合适的，在家庭装修之前的前期准备时，就应该确定好梳妆台尺寸大小，同时梳妆台尺寸也要和房间的格调和风格统一起来。
水果盘	水果盘英文为Fresh Fruit Platter ，是一种主要盛放水果、瓜子等的容器，具有方便、循环利用、时尚等特点。
云南	云南省，简称“云”或“滇”，是中华人民共和国省级行政区，省会昆明。位于中国西南边陲，界于北纬21°8′-29°15′，东经97°31′-106°11′之间，东部与贵州、广西为邻，北部与四川相连，西北部紧依西藏，西部与缅甸接壤，南部和老挝、越南毗邻，云南省总面积39.4万平方千米。云南省地势呈现西北高、东南低，自北向南呈阶梯状逐级下降，属山地高原地形，山地面积占全省总面积的88.64%。地形以元江谷地和云岭山脉南段宽谷为界，分为东西两大地形区。东部为滇东、滇中高原，是云贵高原的组成部分，表现为起伏和缓的低山和浑圆丘陵；西部高山峡谷相间，地势险峻，形成奇异、雄伟的山岳冰川地貌。云南省地跨长江、珠江、元江、澜沧江、怒江、
123	123（一百二十三），是122和124之间的一个自然数、奇数（单数）、合数、阿拉伯数字、有理数。是最简单的数列组合。
电脑包	电脑包属于3C数码配件以及箱包产品类别，随着笔记本的出现而出现。用来装笔记本和公文资料的箱包。有电脑包和内胆包之分，海外通常叫“电脑商务袋、内袋”。
果汁	果汁是以水果为原料经过物理方法如压榨、离心、萃取等得到的汁液产品，一般是指纯果汁或100%果汁。果汁按形态分为澄清果汁和混浊果汁。澄清果汁澄清透明，如苹果汁，而混浊果汁均匀混浊，如橙汁；按果汁含量分为原果汁、水果汁、果汁饮料、果粒果汁饮料、果汁类汽水、果味型饮料。
品牌	品牌是一个汉语词语，拼音是pǐn pái，是指消费者对产品及产品系列的认知程度。广义的“品牌”是具有经济价值的无形资产，用抽象化的、特有的、能识别的心智概念来表现其差异性，从而在人们的意识当中占据一定位置的综合反映。品牌建设具有长期性。狭义的“品牌”是一种拥有对内对外两面性的“标准”或“规则”，是通过对理念、行为、视觉、听觉四方面进行标准化、规则化，使之具备特有性、价值性、长期性、认知性的一种识别系统总称。这套系统我们也称之为CIS（corporate identity system）体系。现代营销学之父科特勒在《市场营销学》中的定义，品牌是销售者向购买者长期提供的一组特定的特点、利益和服务。品牌是给拥有者带来溢价、产生增值的一种无形的资产，它的载体是用于和其他竞争者的产品或劳务相区分的名称、术语、象征、记号或者设计及其组合，增值的源泉来自于消费者心智中形成的关于其载体的印象。品牌承载的更
推车	推车是以人力推和拉的搬运车辆。推车有独轮、两轮、三轮和四轮之分。传统推车的车体材质一般为木质，现代生产的推车车体材质一般为铁皮。
狐狸	哺乳纲，食肉目犬科动物。属于一般所说的狐狸，又叫红狐、赤狐和草狐。它们灵活的耳朵能对声音进行准确定位、嗅觉灵敏，修长的腿能够快速奔跑，最高时速可达50km/h左右，所以主要以鱼、蚌、虾、蟹、鼠类、鸟类、昆虫类小型动物为食，有时也采食一些植物。实际上狐狸是民间对这一类动物的通称，种类繁多，分北极狐、赤狐、银黑狐、沙狐等。性格机敏胆小，常在古代神话中以"狐狸精"出现，虽在远古也曾作为图腾，但从不出现于正式祭祀中，皆因其"形象不雅"，多与狡诈鬼祟相关联。多年来，狐妖狐仙，在各种小说及趣闻中形成一种独有的妖精文化。
甜品	甜品，也叫甜点，是一个很广的概念，大致分为甜味点心和广式的糖水。甜品，一般不会被当作正餐，通常作为下午茶的小食。甜食，是治疗抑郁、放松心情的灵丹妙药，大多人在犒劳自己的时候喜欢来一点甜的，忘记减肥、忘记塑身、忘记那些好看但绷着身体的华丽衣服。一般来说，喜欢吃甜食的人，脾气都不坏，她们的坏情绪可以被巧克力、蛋糕、布丁、奶酪等一切甜美的食物代谢殆尽。即便如才女张爱玲也对冰淇凌、蛋糕等甜品“爱不释口”，尤其喜欢老上海凯司令的“栗子蛋糕”和“处女冰淇淋”。其实女人和甜品有着诸多共同点。首先两者都有吸引人的外观，或精致，或秀美，所谓秀色可餐。其次两者的内在都细腻、柔软。有时女人会用看似冰冷的外表保护自己，其实内心如水，就像巧克力蛋糕，外面是一层坚硬的壳，但里面却是绵密的奶油，极易被热情融化。所以，懂得欣赏甜品的男士必定也会懂得欣赏女人；要让心爱的她感到甜蜜，就为她准备一道特别的甜品吧！广东糖水甜品的
雕花	雕花为多义词，主要意向包括：①一种工艺，在木器上或房屋的隔扇、窗户等上头雕刻图案、花纹：～匠。 ②雕刻成的图案、花纹。 
工艺品	工艺品（英：art craft）手工艺的产品。即通过手工或机器将原料或半成品加工而成的有艺术价值的产品。工艺品来源于生活，却又创造了高于生活的价值。它是人民智慧的结晶，充分体现了人类的创造性和艺术性， 是人类的无价之宝。
牙刷	牙刷是一种清洁用品，为手柄式刷子，用于在刷子上添加牙膏，然后反复刷洗牙齿各个部位。最早的牙刷来源于中国。
随身	随身，指带在身边；跟在身旁，随身携带。见《汉书·货殖传·程郑》：“裒（ 罗裒 ）贾京师，随身数十百万，为平陵石氏持钱。”
机械	《机械》杂志是国内外公开发行的机械装备行业专业技术期刊，在机械行业领域内，传播科技信息，刊载科技专题论著，展示机学科最新科研成果，交流生产实践及革新改造的先进技术经验，传播现代科技新知识。创刊50年来，《机械》杂志由最初的不定期发行内部期刊发展成为国内外公开发行的综合性机械工程技术期刊，曾连续两次被评为中国中文核心期刊，并陆续被中国知网、中国学术期刊（光盘版）、万方数据－数字化期刊群、中国学术期刊综合评价数据库、中文科技期刊数据库全文、中国核心期刊（遴选）数据库等国内知名数据库全文收录。《机械》杂志曾多次被评为四川省优秀期刊，并两度获得中国机械工程学会工作成果奖。
插花	插花(floarr)，亦可称为插花艺术，就是把花插在瓶、盘、盆等容器里，而不是栽在这些容器中。所插的花材，或枝、或花、或叶，均不带根，只是植物体上的一部分，并且不是随便乱插的，而是根据一定的构思来选材，遵循一定的创作法则，插成一个优美的形体（造型），借此表达一种主题，传递一种感情和情趣，使人看后赏心悦目，获得精神上的美感和愉快。中国插花是一种古老的传统文化现象，大多为满足主观与情感的需求，亦是日常生活进行娱乐的特殊方式。插花源于古代民间的爱花、种花、赏花、摘花、赠花、佩花、簪花。花束的花材固定有两种方法：一种是用细铁丝绑扎。每一枝花、每一片衬叶，都用缠上绿胶带的细铁丝缠好后再造型。另一种是用专用花托，内有花泥，将花依造型插入花托内，此法比较简便省事。
环保	环保，全称环境保护，是指人类为解决现实的或潜在的环境问题，协调人类与环境的关系，保障经济、社会的持续发展而采取的各种行动的总称。其方法和手段有工程技术的、行政管理的、创新研发的，也有法律的、经济的、宣传教育的等。
加热	加热是指热源将热能传给较冷物体而使其变热的过程。一般的外在表现为温度的升高，可以用温度计等设备直接测量。加热的方式一般可分为直接加热和间接加热两大类。
超长	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
国潮	百度百科是一部内容开放、自由的网络百科全书，旨在创造一个涵盖所有领域知识，服务所有互联网用户的中文知识性百科全书。在这里你可以参与词条编辑，分享贡献你的
厚款	厚款是一个汉字词语，意思是厚意款待。
精油	精油是从植物的花、叶、茎、根或果实中，通过水蒸气蒸馏法、挤压法、冷浸法或溶剂提取法提炼萃取的挥发性芳香物质。精油又分稀释的（复方精油）和未经稀释的（单方精油）比如仙人掌种子油。精油的挥发性很强，一旦接触空气就会很快挥发，所以精油必须用可以密封的深色瓶子储存。
石英	石英，女，1965年4月生，广州军区广州总医院普通外科护士长。
桌子	《桌子》是一部有金宗宽导演、编剧，林秀晶、郑有美、韩艺礼、郑恩彩、延宇振主演的韩国电影。讲述了在一间咖啡厅的一个桌子，一天之内在这里发生的四对情侣的故事。该片于2016年10月7日在釜山电影节首映。
